date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:08	252/252	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20Dec%202019%2004:13:05%20GMT	http://alhudabogor.org/blog/masjid-gratiss/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/blog/masjid-gratiss/index.html	(from https://alhudabogor.org/)
11:14:08	17950/17950	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:13:03%20GMT	https://alhudabogor.org/faq/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/faq/index.html	(from https://alhudabogor.org/)
11:14:08	14054/14054	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:13:04%20GMT	https://alhudabogor.org/nasihat/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/nasihat/index.html	(from https://alhudabogor.org/)
11:14:09	305/305	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2022%20Dec%202019%2004:13:07%20GMT	http://alhudabogor.org/blog/program-pembangunan-sumur-gratis-wilayah-jabodetabek-dan-sekitarnya/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/blog/program-pembangunan-sumur-gratis-wilayah-jabodetabek-dan-sekitarnya/index.html	(from https://alhudabogor.org/)
11:14:09	25686/25686	---M--	200	added ('OK')	image/png	etag:%226456-514d159bf8f80%22	https://alhudabogor.org/site/assets/files/1329/kalkulator.480x0.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/assets/files/1329/kalkulator.480x0.png	(from https://alhudabogor.org/)
11:14:12	18933/18933	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:13:07%20GMT	https://alhudabogor.org/donasi/laporan/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/donasi/laporan/index.html	(from https://alhudabogor.org/)
11:14:12	28358/28358	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:13:08%20GMT	https://alhudabogor.org/kalkulator-zakat/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/kalkulator-zakat/index.html	(from https://alhudabogor.org/)
11:14:13	22309/22309	---M--	200	added ('OK')	image/jpeg	etag:%225725-587a305c88680%22	https://alhudabogor.org/site/assets/files/1602/masjid-al-baarokah-banyumas-tampak-dari-depan-jalan.320x200.jpg	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/assets/files/1602/masjid-al-baarokah-banyumas-tampak-dari-depan-jalan.320x200.jpg	(from https://alhudabogor.org/)
11:14:13	30841/30841	---M--	200	added ('OK')	image/jpeg	etag:%227879-587a3d45f7d00%22	https://alhudabogor.org/site/assets/files/1606/photo_2019-04-01_15-20-23.320x200.jpg	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/assets/files/1606/photo_2019-04-01_15-20-23.320x200.jpg	(from https://alhudabogor.org/)
11:14:13	22084/22084	---M--	200	added ('OK')	image/jpeg	etag:%225644-5604a87569c80%22	https://alhudabogor.org/site/assets/files/1576/20171113_092602.320x200.jpg	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/assets/files/1576/20171113_092602.320x200.jpg	(from https://alhudabogor.org/)
